Datetime,Open,High,Low,Close,Adj Close,Volume
2024-01-02 00:00:00-05:00,17007.75,17007.75,17007.75,17007.75,17007.75,261
2024-01-02 00:05:00-05:00,17007.75,17009.5,17007.75,17009.25,17009.25,230
2024-01-02 00:10:00-05:00,17009.25,17016.25,17009.0,17016.25,17016.25,258
2024-01-02 00:15:00-05:00,17016.25,17017.0,17014.0,17015.0,17015.0,275
2024-01-02 00:20:00-05:00,17015.0,17016.25,17012.5,17015.0,17015.0,175
2024-01-02 00:25:00-05:00,17014.75,17019.0,17014.5,17017.0,17017.0,298
2024-01-02 00:30:00-05:00,17016.0,17018.5,17015.5,17017.75,17017.75,186
2024-01-02 00:35:00-05:00,17018.0,17018.75,17015.5,17016.5,17016.5,143
2024-01-02 00:40:00-05:00,17017.0,17018.5,17016.5,17018.25,17018.25,135
2024-01-02 00:45:00-05:00,17018.25,17018.25,17016.25,17016.25,17016.25,111
2024-01-02 00:50:00-05:00,17016.5,17019.0,17016.5,17018.0,17018.0,89
2024-01-02 00:55:00-05:00,17018.25,17019.0,17017.0,17018.25,17018.25,96
2024-01-02 01:00:00-05:00,17017.5,17019.5,17015.5,17017.0,17017.0,233
2024-01-02 01:05:00-05:00,17017.25,17018.0,17012.25,17013.25,17013.25,198
2024-01-02 01:10:00-05:00,17013.25,17013.5,17010.0,17010.75,17010.75,162
2024-01-02 01:15:00-05:00,17010.75,17011.5,17009.75,17010.5,17010.5,102
2024-01-02 01:20:00-05:00,17010.0,17011.75,17010.0,17011.0,17011.0,81
2024-01-02 01:25:00-05:00,17011.5,17013.0,17010.5,17011.5,17011.5,108
2024-01-02 01:30:00-05:00,17011.75,17013.0,17008.75,17010.0,17010.0,169
2024-01-02 01:35:00-05:00,17009.75,17011.5,17007.5,17008.0,17008.0,174
2024-01-02 01:40:00-05:00,17008.75,17011.25,17007.25,17010.5,17010.5,154
2024-01-02 01:45:00-05:00,17010.75,17014.0,17009.5,17011.25,17011.25,266
2024-01-02 01:50:00-05:00,17011.5,17011.75,17008.0,17008.25,17008.25,114
2024-01-02 01:55:00-05:00,17008.0,17008.5,17003.0,17004.5,17004.5,334
2024-01-02 02:00:00-05:00,17004.25,17009.5,17004.25,17004.75,17004.75,504
2024-01-02 02:05:00-05:00,17004.75,17009.5,17004.75,17009.5,17009.5,191
2024-01-02 02:10:00-05:00,17009.25,17019.5,17009.25,17017.25,17017.25,608
2024-01-02 02:15:00-05:00,17017.25,17022.5,17016.5,17020.5,17020.5,534
2024-01-02 02:20:00-05:00,17020.5,17022.75,17019.0,17022.0,17022.0,248
2024-01-02 02:25:00-05:00,17022.0,17023.25,17018.5,17019.75,17019.75,239
