Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,1865.5,1889.0,1865.5,1886.75,1886.75,205157
2010-01-05,1886.5,1890.25,1876.0,1885.25,1885.25,208698
2010-01-06,1885.25,1891.75,1872.25,1878.5,1878.5,261274
2010-01-07,1877.75,1880.5,1865.75,1877.5,1877.5,241321
2010-01-08,1877.5,1892.5,1865.0,1890.0,1890.0,268934
2010-01-11,1892.25,1900.0,1874.25,1883.5,1883.5,244841
2010-01-12,1882.0,1883.75,1850.0,1865.5,1865.5,328565
2010-01-13,1866.0,1889.5,1853.25,1882.5,1882.5,315109
2010-01-14,1882.25,1890.25,1876.0,1888.25,1888.25,206040
2010-01-15,1893.0,1894.0,1854.75,1862.25,1862.25,345081
2010-01-19,1861.75,1895.75,1857.5,1889.75,1889.75,333010
2010-01-20,1889.25,1892.25,1845.5,1867.0,1867.0,403528
2010-01-21,1867.75,1883.5,1838.75,1841.0,1841.0,501308
2010-01-22,1841.25,1849.25,1789.5,1797.75,1797.75,527630
2010-01-25,1794.75,1811.75,1792.5,1798.5,1798.5,340316
2010-01-26,1809.75,1823.75,1783.75,1796.5,1796.5,419117
2010-01-27,1798.75,1821.5,1787.75,1809.0,1809.0,443906
2010-01-28,1807.5,1820.0,1759.25,1770.5,1770.5,570517
2010-01-29,1777.75,1789.25,1731.75,1739.25,1739.25,538161
2010-02-01,1740.0,1758.25,1737.0,1755.75,1755.75,344059
2010-02-02,1756.25,1778.0,1747.75,1769.0,1769.0,331528
2010-02-03,1769.0,1786.5,1763.5,1785.5,1785.5,315040
2010-02-04,1784.5,1792.0,1731.5,1734.75,1734.75,483901
2010-02-05,1734.0,1747.75,1710.75,1745.0,1745.0,556768
2010-02-08,1747.25,1753.75,1730.5,1734.5,1734.5,295062
2010-02-09,1734.0,1767.25,1732.0,1752.0,1752.0,380797
2010-02-10,1752.5,1762.75,1736.0,1744.75,1744.75,296949
2010-02-11,1744.5,1778.75,1736.75,1775.5,1775.5,339083
2010-02-12,1773.25,1783.5,1754.0,1783.25,1783.25,328637
2010-02-16,1781.5,1801.5,1775.25,1799.25,1799.25,259717
2010-02-17,1799.25,1812.5,1797.5,1811.75,1811.75,238098
2010-02-18,1812.0,1824.75,1804.75,1820.75,1820.75,268313
2010-02-19,1819.25,1830.0,1801.0,1819.25,1819.25,281740
2010-02-22,1818.75,1833.0,1810.25,1821.0,1821.0,226172
2010-02-23,1819.75,1829.0,1785.25,1801.0,1801.0,348962
2010-02-24,1799.5,1819.75,1796.5,1814.0,1814.0,299224
2010-02-25,1813.0,1816.0,1780.5,1813.5,1813.5,353568
