Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,16356.0,16508.0,16292.0,16485.5,16485.5,513549
2022-01-04,16497.75,16564.0,16139.5,16275.75,16275.75,669527
2022-01-05,16265.0,16269.0,15752.75,15766.5,15766.5,769790
2022-01-06,15763.75,15895.75,15598.5,15759.0,15759.0,802950
2022-01-07,15801.75,15852.75,15510.0,15581.0,15581.0,704406
2022-01-10,15590.0,15669.0,15152.5,15608.0,15608.0,888780
2022-01-11,15622.25,15839.5,15475.0,15831.0,15831.0,709363
2022-01-12,15826.0,16009.25,15762.5,15887.25,15887.25,671265
2022-01-13,15901.0,15979.75,15458.25,15490.25,15490.25,763018
2022-01-14,15505.0,15621.0,15312.5,15595.75,15595.75,795897
2022-01-18,15616.75,15653.25,15170.75,15206.0,15206.0,868066
2022-01-19,15238.75,15372.0,15011.25,15033.5,15033.5,776612
2022-01-20,15042.25,15340.25,14646.75,14841.0,14841.0,771410
2022-01-21,14722.0,14858.5,14408.5,14426.5,14426.5,1041723
2022-01-24,14410.0,14582.0,13706.0,14501.0,14501.0,1323080
2022-01-25,14495.0,14499.0,13890.0,14140.75,14140.75,957800
2022-01-26,13945.5,14639.75,13945.5,14158.5,14158.5,908549
2022-01-27,14194.0,14409.25,13844.5,13986.75,13986.75,866647
2022-01-28,14167.75,14442.0,13831.0,14433.0,14433.0,878243
2022-01-31,14454.0,14914.75,14353.25,14905.0,14905.0,654278
2022-02-01,14868.75,15137.0,14729.25,14994.75,14994.75,597305
2022-02-02,15129.0,15260.0,14825.0,15114.5,15114.5,645396
2022-02-03,14852.5,14870.0,14456.25,14492.25,14492.25,731581
2022-02-04,14770.0,14825.75,14362.75,14685.5,14685.5,763735
2022-02-07,14682.5,14806.25,14511.5,14559.75,14559.75,562312
2022-02-08,14600.0,14776.0,14467.5,14734.5,14734.5,611858
2022-02-09,14746.25,15068.0,14741.0,15038.25,15038.25,529886
2022-02-10,15062.25,15062.25,14622.0,14701.0,14701.0,834478
2022-02-11,14698.25,14766.75,14181.0,14240.5,14240.5,835981
2022-02-14,14250.0,14394.0,14031.0,14253.0,14253.0,734224
2022-02-15,14257.0,14614.75,14223.25,14609.5,14609.5,558472
